TimePoint,30 pre-drug_COLOR
0.0,0.03058766
0.1,0.01951272
0.2,0.006449775
0.3,0.004492814
0.4,-0.003142708
0.5,-0.004320846
0.6,-0.01157335
0.7,-0.007037662
0.8,-0.01132473
0.9,-0.02364367
1.0,-0.03466434
1.1,-0.0372309
1.2,-0.03139105
1.3,-0.02912185
1.4,-0.03118376
1.5,-0.03414343
1.6,-0.0358349
1.7,-0.03459948
1.8,-0.0423287
1.9,-0.04251221
2.0,-0.04217562
2.1,-0.02879601
2.2,-0.02004022
2.3,-0.009896089
2.4,-0.009397134
2.5,-0.017157
2.6,-0.02583521
2.7,-0.01284171
2.8,-0.001983119
2.9,-0.002471135
3.0,-0.001167093
3.1,0.004626008
3.2,-0.001048868
3.3,-0.01535228
3.4,-0.01844703
3.5,-0.009255837
3.6,0.006680613
3.7,0.004864862
3.8,-0.01284233
3.9,-0.02667893
4.0,-0.02545433
4.1,-0.01060876
4.2,-0.003643132
4.3,-0.00096779
4.4,0.003526755
4.5,-0.004518215
4.6,-0.01732847
4.7,-0.03756823
4.8,-0.04615096
4.9,-0.0536514
5.0,-0.06204956
5.1,-0.06973757
5.2,-0.08902343
5.3,-0.09651462
5.4,-0.09021719
5.5,-0.09150377
5.6,-0.09541975
5.7,-0.08427424
5.8,-0.08233872
5.9,-0.07880492
6.0,-0.07824236
6.1,-0.07256948
6.2,-0.06284985
6.3,-0.07709685
6.4,-0.1006177
6.5,-0.1099343
6.6,-0.113143
6.7,-0.1138625
6.8,-0.1041721
6.9,-0.09305717
7.0,-0.09845958
7.1,-0.09569685
7.2,-0.102189
7.3,-0.0958924
7.4,-0.0985919
7.5,-0.1008882
7.6,-0.1138931
7.7,-0.1086527
7.8,-0.08448041
7.9,-0.05950331
8.0,-0.05408166
8.1,-0.05584967
8.2,-0.03820069
8.3,-0.03033444
8.4,-0.0342683
8.5,-0.04923482
8.6,-0.06034519
8.7,-0.06220262
8.8,-0.04919699
8.9,-0.04309688
9.0,-0.03699434
9.1,-0.04320893
9.2,-0.04697559
9.3,-0.03840151
9.4,-0.02294659
9.5,-0.02931198
9.6,-0.0375509
9.7,-0.03535714
9.8,-0.02221178
9.9,-0.01243584
10.0,-0.01626374
10.1,-0.03656248
10.2,-0.02801112
10.3,-0.02164875
10.4,-0.005924541
10.5,-0.0112842
10.6,-0.02867777
10.7,-0.02158979
10.8,-0.00952548
10.9,0.0007479346
11.0,0.002145884
11.1,-0.01023926
11.2,-0.0180262
11.3,-0.02315349
11.4,-0.01643127
11.5,-0.01093593
11.6,-0.01678022
11.7,-0.02006824
11.8,-0.008409682
11.9,0.01371733
12.0,0.01104745
12.1,-0.006009097
12.2,-0.02484844
12.3,-0.02983044
12.4,-0.02964191
12.5,-0.02514253
12.6,-0.01515299
12.7,-0.005881009
12.8,-0.01501618
12.9,-0.03080933
13.0,-0.0225815
13.1,-0.02027502
13.2,-0.01888013
13.3,-0.02243354
13.4,-0.01601755
13.5,-0.002675943
13.6,0.02771556
13.7,0.04850047
13.8,0.0646753
13.9,0.06344275
14.0,0.0624865
14.1,0.06953636
14.2,0.07840247
14.3,0.07286339
